"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Age_Group","Count","New_Age_Group"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"18+",84,"18+ years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"5",0,"5-6 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"6",5,"5-6 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"7",8,"7-10 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"8",11,"7-10 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"9",18,"7-10 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"10",10,"7-10 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"11",13,"11-13 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"12",5,"11-13 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"13",9,"11-13 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"14",7,"14-17 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"15",7,"14-17 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"16",2,"14-17 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"17",0,"14-17 years old"
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"18+",0,"18+ years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"5",0,"5-6 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"6",0,"5-6 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"7",25,"7-10 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"8",32,"7-10 years old"
