"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Ethnicity_Group","Count"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"Two or More",6
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"Others",1
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"Decline to state",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",1
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"American Indian or Alaskan Native",2
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Asian, Asian American, Filipino",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Black or African American",90
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Hispanic or Latin(a/o), or Latinx",1
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Arab and other Middle Eastern American",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Pacific Islander or Native Hawaiian",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"South Asian, Indian, or Desi",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"White, European, or Caucasian",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Two or More",1
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Others",0
"Lincoln","Oakland Freedom Schools (OFS)","Summer 2023","Summer Academic & Enrichment","Annie Hines",95,"Decline to state",0
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",1
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"American Indian or Alaskan Native",2
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Asian, Asian American, Filipino",41
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Black or African American",73
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Hispanic or Latin(a/o), or Latinx",24
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Arab and other Middle Eastern American",1
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Pacific Islander or Native Hawaiian",0
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"South Asian, Indian, or Desi",0
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"White, European, or Caucasian",31
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Two or More",36
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Others",4
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Decline to state",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"American Indian or Alaskan Native",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Asian, Asian American, Filipino",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Black or African American",23
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Hispanic or Latin(a/o), or Latinx",5
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Arab and other Middle Eastern American",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Pacific Islander or Native Hawaiian",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"South Asian, Indian, or Desi",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"White, European, or Caucasian",3
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Two or More",2
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Others",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Decline to state",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
